OID;UIDNFTN;NAME;X;Y;WHERE_LOC;NUM_PLACE;VED_SUBJ;EXPL_NAME;EXPL_PHONE;LAT;LON
21;12;"Велосипедная парковка №21006 ""Арбат, 2/1""";6346,0982;9509,9934;Рядом с д. 2/1 по ул. Арбат. Вблизи Альфа Арбат центр;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.75233297277617;37.59932122413479
22;13;"Велосипедная парковка №21008 ""Земляной Вал, 33""";10099,7628;10051,3619;ул. Земляной Вал, 33. Атриум;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.75713252129964;37.6591209392302
23;14;"Велосипедная парковка №21014 ""Болотная, 18""";7772,6736;8810,8304;Болотная улица, 18. Офисы;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.74603284132755;37.62202093310889
24;15;"Велосипедная парковка №21017 ""Большая Молчановка, 8""";6119,9144;9609,8812;Большая Молчановка,8. Магазины, Рестораны;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.75323299336902;37.59572126754417
25;16;"Велосипедная парковка №21018 ""Большая Никитская, 2""";7124,2582;9789,5107;Вблизи д. 2 по ул. Большая Никитская. Парковка около МГУ;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.75483287234624;37.611721199084116
26;17;"Велосипедная парковка №21019 ""Большая Ордынка, 24""";7880,6583;8120,7319;Большая Ордынка, 24. ГК Росатом;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.73983285919658;37.623720783352525
27;18;"Велосипедная парковка №21020 ""Большая Ордынка, 40с5""";7680,2978;7752,9702;Большая Ордынка, 40С5. Бизнес-Центр Легион;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.736532898481975;37.620520729872254
28;19;"Велосипедная парковка №21022 ""Большая полянка, 37с3""";7655,4203;7608,1896;Большая полянка, 37С3. Церковь;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.73523290761533;37.620120703206226
29;20;"Велосипедная парковка №21023 ""Большая Сухаревская площадь, 2с1""";8451,6455;11729,1045;Большая Сухаревская площадь, 2, стр1. Рядом метро Сухаревская;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.77223263628758;37.63292145285915
30;21;"Велосипедная парковка №21024 ""Большая Татарская, 35с4""";8647,6005;7788,148;ул. Большая Татарская, 35, стр. 4. Офисно-деловая зона;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.736832786862955;37.63592063452089
49;83;"Велосипедная парковка №21153 ""Тверская площадь""";6972,3681;10557,4963;Парковка на Тверской площади. Парковка расположена в офисно-деловом и туристическом районе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.76173285564384;37.60932136990552
50;84;"Велосипедная парковка №21154 ""Тверская, 2""";7387,8185;10005,6011;Вблизи д. 2 по Тверской улице. Парковка около метро Охотный ряд;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.75676984225482;37.6159246245395
51;85;"Велосипедная парковка №21156 ""Тверской бульвар, 13с1""";6338,5553;10400,6788;Тверской бульвар 13С1 Группа Онэксим, рестораны, компании;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.76033293457505;37.59922140383519
52;86;"Велосипедная парковка №21158 ""Арбат, 26""";5856,6944;9230,9835;Ул. Арбат 26 Театр им. Вахтангова;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.74983303968334;37.591521219072774
53;87;"Велосипедная парковка №21160 ""Большая Садовая, 16с1""";6117,7966;11157,4637;Большая Садовая, 16С1 Театр Моссовета;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.76713292661994;37.595721579477136
54;88;"Велосипедная парковка №21170 ""Цветной бульвар, 13""";7642,383;11538,3643;Цветной бульвар,13 Цирк на цветном бульваре;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.770532737046736;37.620021498564974
55;89;"Велосипедная парковка №21171 ""Петровка, 2""";7638,0384;10413,8505;Вблизи д.2 по ул.Петровка. Парковка при ЦУМе;10;Департамент капитального ремонта города Москвы;Департамент капитального ремонта города Москвы;8 (499)784-18-40;55.76043278654902;37.619921271762124
